Trace
Swept SA
A.02.06,N9010A
78980157,-96.8259655044313
78980157.5,-95.0518752850388
78980158,-92.4750069061241
78980158.5,-90.0529323255122
78980159,-88.2899004188375
78980159.5,-86.8769783081378
78980160,-85.7310006170153
78980160.5,-84.8700375469293
78980161,-84.2722118642191
78980161.5,-83.9330765264726
78980162,-83.855552953094
78980162.5,-84.0336431404108
78980163,-84.4724484264219
78980163.5,-85.185335487155
78980164,-86.1634210128901
78980164.5,-87.4298428112306
78980165,-89.0566472294967
78980165.5,-90.9431457358407
78980166,-92.9327947188277
78980166.5,-95.1220644468649
78980167,-96.8263716169817
78980167.5,-97.7308786754122
78980168,-98.1957439416563
78980168.5,-98.4220747615856
78980169,-98.3675479881181
78980169.5,-98.4400057374138
78980170,-98.7399781249093
78980170.5,-98.9962048309775
78980171,-99.0183867004423
78980171.5,-98.9173390818306
78980172,-98.8079015030405
78980172.5,-98.6567666457304
78980173,-98.6050606055286
78980173.5,-98.7927011924447
78980174,-99.0292389631868
78980174.5,-99.0495463364059
78980175,-98.9150198282849
78980175.5,-98.8323842244266
78980176,-98.8177064795414
78980176.5,-98.8864066777106
78980177,-99.1597747571897
78980177.5,-99.5382638763516
78980178,-99.6539831400988
78980178.5,-99.4972693204787
78980179,-99.2102855208323
78980179.5,-98.8187365251124
78980180,-98.3377629076614
78980180.5,-97.8234246874917
78980181,-97.2497255029742
78980181.5,-96.8510105938727
78980182,-96.6912730276928
78980182.5,-96.7129304022791
78980183,-96.9676372863351
78980183.5,-97.4037010725175
78980184,-97.6196835696413
78980184.5,-97.5406271370494
78980185,-97.4653403614777
78980185.5,-97.5777429451025
78980186,-97.767941424056
78980186.5,-97.9686096079403
78980187,-98.2082282287863
78980187.5,-98.3140700239904
78980188,-98.1685063013717
78980188.5,-97.9380249706255
78980189,-97.794158013501
78980189.5,-97.6871448249497
78980190,-97.5884779740081
78980190.5,-97.4701254180387
78980191,-97.4109171811251
78980191.5,-97.4759806976592
78980192,-97.6323213288008
78980192.5,-97.8621812026263
78980193,-98.1852227916564
78980193.5,-98.5036270563705
78980194,-98.7976000299564
78980194.5,-99.0410464398973
78980195,-99.1130525389645
78980195.5,-99.036120729096
78980196,-99.0743758105512
78980196.5,-99.3491503260355
78980197,-99.6080318261342
78980197.5,-99.6357846855718
78980198,-99.5240026837589
78980198.5,-99.3269423423049
78980199,-98.9854842282958
78980199.5,-98.7538214856214
78980200,-98.8297473824996
78980200.5,-99.0441420386219
78980201,-99.2204769003081
78980201.5,-99.4001218432857
78980202,-99.4434436483198
78980202.5,-99.2840678554315
78980203,-99.0164895319426
78980203.5,-98.6939615664701
78980204,-98.3080014674356
78980204.5,-97.9813955562943
78980205,-97.7671030623237
78980205.5,-97.4722432784283
78980206,-97.092186826405
78980206.5,-96.5020614605583
78980207,-95.1523160206101
78980207.5,-93.0278945212683
78980208,-90.8345200434568
78980208.5,-88.7061265354347
78980209,-86.7080907316798
78980209.5,-85.1590863707876
78980210,-83.9698125760913
78980210.5,-83.0625272230285
78980211,-82.4347415562461
78980211.5,-82.0870964371628
78980212,-82.0076968954954
78980212.5,-82.2001056069277
78980213,-82.668836317794
78980213.5,-83.409610683512
78980214,-84.4488519050307
78980214.5,-85.7696732875274
78980215,-87.4198947760354
78980215.5,-89.6124854932093
78980216,-92.3306947238705
78980216.5,-94.6132590910102
78980217,-96.2395913945236
78980217.5,-97.4785696389526
78980218,-98.3912510275386
78980218.5,-98.9755788971547
78980219,-99.3781668179685
78980219.5,-99.5440742778715
78980220,-99.6958446217774
78980220.5,-100.016443234358
78980221,-100.362023038337
78980221.5,-100.579017255551
78980222,-100.692647807785
78980222.5,-100.720120526884
78980223,-100.620883573115
78980223.5,-100.494132514765
