Trace
Swept SA
A.02.06,N9010A
77655062,-82.9348924685413
77660062,-83.1261571118005
77665062,-83.0596153822454
77670062,-82.9017796948763
77675062,-82.6661563294368
77680062,-82.9163732013069
77685062,-82.1456564543281
77690062,-82.6785145370331
77695062,-82.3079906359531
77700062,-81.8766725993325
77705062,-81.8652832103382
77710062,-81.725974070963
77715062,-81.7912034679608
77720062,-81.6847770589852
77725062,-81.5715919701588
77730062,-81.1352479373771
77735062,-81.1146798231021
77740062,-81.3399468428275
77745062,-80.3795557817159
77750062,-80.8985668753907
77755062,-80.7437063020394
77760062,-80.5501659519283
77765062,-80.4368357513838
77770062,-80.2240219702772
77775062,-80.0859801567083
77780062,-79.6905824755468
77785062,-79.5863339613933
77790062,-79.1746033766386
77795062,-78.9217637284663
77800062,-78.9745309874966
77805062,-79.6251988731871
77810062,-79.3464279397413
77815062,-79.0029263123836
77820062,-78.9986907353398
77825062,-78.8573399721122
77830062,-78.4074384284691
77835062,-78.2275626975125
77840062,-78.5785245658775
77845062,-78.6927584841581
77850062,-78.3467327248534
77855062,-77.6719058805693
77860062,-77.7376047045345
77865062,-77.6247492771087
77870062,-77.6798652762633
77875062,-77.5778046677812
77880062,-77.1489321036185
77885062,-76.9247908724933
77890062,-76.998132745547
77895062,-77.1383511570607
77900062,-77.2951606840303
77905062,-76.5702330761321
77910062,-76.4302034092224
77915062,-76.2479507548356
77920062,-76.5592128823865
77925062,-76.0007289673436
77930062,-75.1682260421609
77935062,-74.8712996097144
77940062,-74.9320671975945
77945062,-75.3928252055533
77950062,-75.2868530164144
77955062,-74.797224252753
77960062,-74.4520155397881
77965062,-75.3029657589612
77970062,-75.0832046873905
77975062,-74.5263926572956
77980062,-74.7686250756759
77985062,-74.1570422753391
77990062,-74.5733019634364
77995062,-74.4836146693925
78000062,-74.3129923350683
78005062,-74.4051325418874
78010062,-74.8167469028392
78015062,-75.2879485400461
78020062,-75.2137457700079
78025062,-75.7648482590331
78030062,-75.9514797817289
78035062,-76.0685671188046
78040062,-76.3533272529234
78045062,-76.7126153755561
78050062,-76.986443949339
78055062,-77.05241281131
78060062,-76.6099057575361
78065062,-77.0694252019527
78070062,-76.8473949513691
78075062,-77.1941159383296
78080062,-78.0503649244674
78085062,-78.0133617407773
78090062,-78.1859430518254
78095062,-78.1468370891563
78100062,-79.0241626067196
78105062,-79.6371189048157
78110062,-79.6032793565953
78115062,-79.4266572563703
78120062,-79.7176154374694
78125062,-79.3974863920066
78130062,-79.4808040359779
78135062,-79.5395653257751
78140062,-79.8279252014693
78145062,-80.1195588854618
78150062,-80.580029225576
78155062,-80.4859921184533
78160062,-80.5040959563168
78165062,-80.8281368848424
78170062,-80.74724243131
78175062,-81.3458103525958
78180062,-81.0513497025511
78185062,-81.2883735476968
